Amplitude - Plot 0,Amplitude - Plot 1
41.38,0.567952
41.1093,0.126708
29.1955,3.69021
35.6216,2.3222
27.9922,2.70936
42.6438,4.17386
25.8616,4.17406
27.0261,3.31276
43.1665,5.70325
18.3114,5.8057
20.1652,4.26213
16.0653,6.60303
15.4238,5.07253
1.14606,3.32694
8.00797,4.99716
-4.39555,1.85631
-11.9911,1.61178
-11.7037,3.16335
-15.848,2.05842
-13.9515,2.22961
-18.5448,2.08089
-26.3059,0.970563
-29.2663,1.30854
-33.5239,-0.118534
-25.5518,-0.350736
-41.0401,0.856159
-29.1066,-0.185
-32.2761,0.255059
-33.9621,0.647142
-34.5866,-2.63575
-34.2488,-1.66765
-28.0852,-3.17883
-36.6542,-2.97705
-14.8785,-2.44842
-19.3865,-4.26024
-24.9881,-5.50468
-20.6257,-3.64321
-8.34121,-3.7186
-4.37876,-3.13128
4.00009,-0.710283
-1.92781,-3.06308
8.36953,-2.6512
15.0115,-1.01472
7.77321,-1.46998
4.56317,-0.044038
24.0827,0.368236
21.9931,0.648242
33.4474,-0.596145
34.7421,0.999976
32.5513,0.947206
40.5071,1.28905
32.4569,0.739804
20.924,0.972871
43.9542,2.35026
43.6465,2.86729
29.9956,3.37982
21.7249,2.71677
35.019,2.10652
33.4077,4.46662
19.6579,2.73327
22.7675,6.20854
19.3549,3.1004
11.9365,4.25135
1.95884,1.53506
-1.38547,3.47123
-5.95389,1.3726
-10.3426,1.80228
-5.58008,0.156645
-19.6563,1.39327
-13.1253,0.834216
-20.8203,0.198157
-25.6852,-0.168097
-23.2557,-2.70692
-27.9231,-0.787042
-31.9402,-1.61775
-42.9441,-1.59506
-31.5524,-2.09775
-32.8842,-3.43834
-38.7365,-3.95447
-34.8642,-4.81404
-38.2203,-4.51638
-42.2558,-4.4827
-30.2149,-5.05423
-15.4154,-4.9829
-21.2851,-5.21599
-18.3126,-4.18962
-9.07178,-6.2038
-23.1913,-5.75902
-8.67858,-5.4492
-12.4121,-5.6399
-0.472232,-4.13141
-1.11924,-2.08639
14.3059,-3.82294
21.3497,-1.47614
20.5907,-2.19248
35.7093,-0.902175
27.5965,-1.88549
30.4908,-0.707584
26.7122,1.2151
37.971,2.4963
34.3675,2.44863
33.563,2.327
33.6573,3.84414
34.4194,2.83713
41.4523,3.11038
34.9098,5.44625
28.0311,5.26884
30.8384,3.44945
28.5909,6.07186
27.888,6.91839
14.3481,3.90592
16.5771,5.8834
17.2004,5.84576
12.8806,6.34117
5.06013,4.24496
-2.88877,4.03649
-1.11985,4.15082
-12.3118,2.70147
-14.3104,2.44748
-27.0598,2.87041
-25.4546,2.58467
-25.9642,1.07047
-27.2521,1.07989
-23.4713,1.50411
-29.1449,-0.0849857
-35.7273,-0.933729
-32.0431,0.134589
-26.8774,-2.52287
-22.695,-1.38504
-35.4288,-1.64857
-29.4275,-2.38266
-28.6535,-1.97577
-29.4457,-4.23529
-22.7779,-3.24712
-22.3129,-1.53795
-24.5749,-2.15907
-21.9951,-3.41499
-14.9642,-2.8833
-6.16376,-3.75389
0.350653,-2.46713
10.5468,-0.537902
4.9285,-1.64823
5.31506,-3.83942
14.5211,-2.44746
17.4865,-1.57628
21.3812,0.776119
20.8645,0.554517
23.1692,-0.638297
38.7958,0.192682
32.0811,0.351191
38.4822,-0.574464
39.5804,1.00051
30.8886,1.91317
36.3868,3.26288
30.6473,3.13854
35.7276,3.26392
27.1187,2.20504
29.2403,4.15865
30.5314,3.68107
28.3489,3.80382
20.9897,4.92116
2.24135,4.57215
19.0974,4.0711
9.84987,2.81207
-1.13893,1.26613
0.97635,2.5041
-6.54641,0.437624
-2.59467,2.75929
-23.4118,1.81057
-19.6486,2.06321
-22.6298,-0.0700592
-31.839,-0.882232
-31.3021,1.03822
-29.9707,-1.02938
-31.1416,-1.50293
-29.6722,-0.937142
-30.5891,-2.52465
-29.0403,-3.6289
-41.925,-2.02867
-30.595,-2.54819
-36.2112,-3.68193
-38.2515,-6.0416
-37.299,-4.5186
-30.1066,-6.08933
-16.4857,-4.41489
-22.4742,-7.55447
-22.468,-5.69918
-12.8347,-5.72169
1.87806,-4.18225
-4.98855,-3.9105
-4.14717,-4.28908
1.48966,-3.97689
10.6343,-2.94744
7.76256,-2.56511
22.0575,-1.13916
21.1189,-1.04365
16.9111,-0.179228
19.7448,0.432051
13.1598,0.653503
45.7271,0.932634
37.1184,0.971137
23.959,1.59598
28.5816,2.57315
38.9423,2.19792
30.3398,1.97456
25.9792,2.78767
26.783,2.77551
27.1217,5.26428
29.3943,5.69558
14.6269,5.85441
25.6111,6.35184
15.7423,5.16078
18.9351,2.18625
17.0371,3.51798
5.02107,6.6824
-0.658695,3.72358
0.977785,3.64215
-1.43552,2.21405
-1.52346,1.6378
-8.82492,2.15429
-22.0909,2.8585
-22.6772,1.21095
-29.8908,-0.418599
-22.6808,0.758322
-29.3589,1.04897
-28.8217,-0.24609
-41.1881,-0.532165
-41.3941,-0.753094
-34.0274,-1.42844
-45.3924,-2.97368
-42.7339,-1.05494
-29.8868,-1.50541
-29.9265,-4.17851
-23.5396,-3.27842
-24.1303,-3.79716
-15.9664,-3.3132
-13.3875,-4.12359
-15.7972,-3.73757
-15.5858,-3.87196
-6.29579,-2.86814
-0.597778,-3.16376
6.09585,-1.58409
17.4192,-0.732923
17.7893,-3.3906
17.0658,-1.34266
19.4022,-1.04879
20.8029,2.10367
28.9067,1.65517
29.2723,0.545554
35.8534,0.657717
42.0382,0.183459
40.3497,1.01033
26.927,0.598486
36.5484,2.47465
39.8323,2.70224
29.6372,2.49126
33.6064,2.97968
32.9474,3.28653
17.5185,4.96808
30.7072,4.06227
22.8488,4.30071
20.1519,3.9632
-1.68337,3.9311
15.811,2.82943
-4.05785,3.84134
1.46492,2.92592
-10.5736,0.77018
-8.67652,2.06765
-8.02937,1.64003
-23.1372,0.625076
-23.6423,-0.313649
-15.2772,-1.35831
-33.5797,-0.0865423
-34.2613,-2.28415
-33.861,-0.622249
-29.3255,-3.31985
-31.6041,-4.93746
-36.2463,-2.77964
-41.1297,-2.78008
-26.9746,-5.38848
-39.392,-3.82309
-33.0952,-4.32663
-16.8142,-6.82826
-30.1818,-5.23031
-26.1718,-4.31671
-22.3205,-5.76955
-20.111,-4.30842
-20.7226,-5.12543
-2.17895,-4.53326
-0.212237,-4.87733
6.86389,-3.93197
6.54022,-2.08769
